Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English_Steam,Korean_Steam
Record.KeiAfter-81,男,「オラッ！出してやるっ！悪の戦闘員めっ…反省しろっ！」,「オラッ！出してやるっ！悪の戦闘員めっ…反省しろっ！」,「來吧！要射了！邪惡的戰鬥員啊…好好反省吧！」,"""Take this! I'm coming! You're a bad soldier... reflect on your actions!""",「자! 싸주마! 악의 전투원 놈… 반성해!」
,,,,,,
Record.KeiAfter-82,Kei darkness DLC1-７,ドクッ、ビュルルルルッ！！！！,ドクッ、ビュルルルルッ！！！！,噗くん、咻嚕嚕嚕！！！！,"Throb, splurrrrrt!!!!","도큣, 뷰르르르르릇!!!!"
,,,,,,
Record.KeiAfter-83,K22号,「～～～～～～～～～～っ♥♥！！！」,「～～～～～～～～～～っ♥♥！！！」,「～～～～～～～～～～♥♥！！！」,"""...♥♥!!!""",「~~~~~~~~~~윽♥♥!!!」
,,,,,,
Record.KeiAfter-84,,K22号の口と膣内に男たちの精液が放出される,K22号の口と膣内に男たちの精液が放出される,男人們的精液被釋放在K22號的嘴裡和陰道內,The men shot their loads into K22's mouth and pussy.,K22호의 입과 질 내에 남자들의 정액이 방출된다
,,,,,,
Record.KeiAfter-85,K22号,「うぐうっ♥、うっ、ゴキュッ♥！んん～～～っ♥！！？」,「うぐうっ♥、うっ、ゴキュッ♥！んん～～～っ♥！！？」,「唔咕咕♥、嗚、咕啾♥！嗯嗯～～～♥！！？」,"""Uguu♥ uh, gulp♥! Nnn♥!!?""","「으극윽♥, 윽, 꿀꺽♥! 응응~~~윽♥!!?」"
,,,,,,
Record.KeiAfter-86,Kei darkness DLC1-８,(！！っ、な、なんだこれっ…精液出されただけでっ……体が反応してっ……イクッ♥！！),(！！っ、な、なんだこれっ…精液出されただけでっ……体が反応してっ……イクッ♥！！),（！！…這、這是什麼…光是被射了精液……身體就起了反應……要去了♥！！）,(Wh-what is this... I'm... My body is reacting from their ejaculations... I'm coming♥!!),"(!!윽, 뭐, 뭐야 이거… 정액 싸인 것만으로…… 몸이 반응해서…… 가버렷♥!!)"
,,,,,,
Record.KeiAfter-87,,ブシュッ♥プシシイイッ♥,ブシュッ♥プシシイイッ♥,噗咻♥噗咻咻咻♥,Gush♥ pssshhh♥,부슉♥ 푸시시이잇♥
,,,,,,
Record.KeiAfter-88,K22号,「ごきゅっ♥…ごきゅっ♥…ううっ…おえっ…♥」,「ごきゅっ♥…ごきゅっ♥…ううっ…おえっ…♥」,「咕啾♥…咕啾♥…嗚嗚…嘔…♥」,"""Gulp♥... gulp♥... uuh... oeh...♥""",「꿀꺽♥… 꿀꺽♥… 으윽… 오엣…♥」
,,,,,,
Record.KeiAfter-89,,K22号は膣内と口腔内に精液を流し込まれるごとに改造された体が軽くイッてしまう。,K22号は膣内と口腔内に精液を流し込まれるごとに改造された体が軽くイッてしまう。,K22號每當被精液灌入陰道與口腔時，被改造過的身體就會輕微地高潮。,K22 came each time the men shot a load into her mouth or pussy.,K22호는 질 내와 구강 내에 정액이 흘러 들어올 때마다 개조된 몸이 가볍게 가버린다.
,,,,,,
Record.KeiAfter-90,K22号,「ぐうっ…んんっ♥……んん゛っ……！！んんんっ♥！！！」,「ぐうっ…んんっ♥……んん゛っ……！！んんんっ♥！！！」,「唔…嗯嗯♥……嗯嗯゛……！！嗯嗯嗯♥！！！」,"""Guh... nnn♥... nnn... !! Nnnnn♥!!!""",「크윽… 응응읏♥…… 응응옷 윽……!! 응응응읏♥!!!」
,,,,,,
Record.KeiAfter-91,,(ぐうっ…ううっ！…この私がっ……！こんな雑魚共に……雑に使われて…あろうことか絶頂させられた……！？！),(ぐうっ…ううっ！…この私がっ……！こんな雑魚共に……雑に使われて…あろうことか絶頂させられた……！？！),（唔…嗚嗚！…本小姐竟然……！被這種雜魚們……如此粗暴地對待…甚至還高潮了……！？）,(Guh... uuh! ...For me to...! Be violated by these weaklings... and even made to come...?!!),(크윽… 으윽!… 이 내가!……! 이런 잡것들에게…… 함부로 사용되고… 심지어 절정당하다니……!?!)
,,,,,,
Record.KeiAfter-92,,(くそっ…！この…私がっ……！！！),(くそっ…！この…私がっ……！！！),（可惡…！這…本小姐竟然……！！！）,(Damn...! I...!!!),(젠장…! 이… 내가!!!)
,,,,,,
Record.KeiAfter-93,男,「ふう…出した出した。おう、空いたから誰か使っていいぞ。」,「ふう…出した出した。おう、空いたから誰か使っていいぞ。」,「呼…射了射了。喂，空出來了，誰都可以用了喔。」,"""Phew... finished. Hey, she's free now, someone else can use her.""","「후우… 쌌다 쌌어. 어이, 비었으니 누구 써도 좋아.」"
,,,,,,
Record.KeiAfter-94,K22号,「～～～～～～～～～～っ！！」,「～～～～～～～～～～っ！！」,「～～～～～～～～～～！！」,"""...!!""",「~~~~~~~~~~윽!!」
,,,,,,
Record.KeiAfter-95,,(ま、待てっ♥！！まずいっ♥、ここにいる全員を相手している時間はないっ！！),(ま、待てっ♥！！まずいっ♥、ここにいる全員を相手している時間はないっ！！),（等、等等♥！！糟糕了♥、沒有時間跟在場的所有人耗下去！！）,(W-wait♥!! This is bad♥ I don't have time to deal with everyone here!!),"(자, 잠깐♥!! 위험해♥, 여기에 있는 전원을 상대할 시간은 없어!!)"
,,,,,,
Record.KeiAfter-96,,(早く逃げなければ…！流石に財団の戦闘員に見つかってしまうっ！！),(早く逃げなければ…！流石に財団の戦闘員に見つかってしまうっ！！),（必須趕快逃走…！再這樣下去一定會被財團的戰鬥員發現的！！）,(I need to escape quickly...! I'll definitely be found by Foundation soldiers!!),(빨리 도망쳐야 해…! 아무래도 재단 전투원에게 들켜버렷!!)
,,,,,,
Record.KeiAfter-97,K22号,「ケホッ♥、ま、まへっ♥、は、はなしをッ♥！」,「ケホッ♥、ま、まへっ♥、は、はなしをッ♥！」,「咳♥、等、等一下♥、我、我有話要♥！」,"""Cough♥ w-wai♥ l-let's talk♥!""","「케홋♥, 자, 잠깐♥, 이, 이야기를♥!」"
,,,,,,
Record.KeiAfter-98,,そんなK22号の言葉もむなしく、K22号に怒れる市民たちの肉棒が襲い掛かるのだった,そんなK22号の言葉もむなしく、K22号に怒れる市民たちの肉棒が襲い掛かるのだった,K22號的話語終究是徒勞的，憤怒市民們的肉棒再次向K22號襲來,K22's words were in vain as the angry citizens continued to violate her.,"그런 K22호의 말도 헛되이, K22호에게 분노한 시민들의 육봉이 덮쳐드는 것이었다"
,,,,,,
,,,,,,
,,,,,,
Record.KeiAfter-99,Kei darkness DLC1-９,――――1時間後,――――1時間後,――――1小時後,One hour later...,――――1시간 후
,,,,,,
Record.KeiAfter-100,,パンッ！パンッ！パンッ！,パンッ！パンッ！パンッ！,啪！啪！啪！,Slap! Slap! Slap!,팡! 팡! 팡!
,,,,,,
Record.KeiAfter-101,,ジュルルッ！ジュポッ！ジュポッ！,ジュルルッ！ジュポッ！ジュポッ！,啾嚕嚕！啾啵！啾啵！,Slurp! Shlup! Shlup!,츄르릇! 쥬폿! 쥬폿!
,,,,,,
Record.KeiAfter-102,K22号,「お゛っ♥♥、お゛おおっ♥」,「お゛っ♥♥、お゛おおっ♥」,「哦゛♥♥、哦゛喔喔♥」,"""Ohh♥♥ ohhh♥""","「오옷 옷♥♥, 오옷 오오옷♥」"
,,,,,,
Record.KeiAfter-103,,K22号は何回にもわたる凌辱により、全身が精液まみれとなっていた,K22号は何回にもわたる凌辱により、全身が精液まみれとなっていた,歷經了數次的凌辱，K22號全身都沾滿了精液,"After multiple rounds of assault, K22's entire body was covered in jizz.","K22호는 몇 번에 걸친 능욕으로 인해, 온몸이 정액 범벅이 되어 있었다"
,,,,,,
Record.KeiAfter-104,,(ぐううっ♥！…結局っ♥♥…逃げられなかったっ♥♥！！),(ぐううっ♥！…結局っ♥♥…逃げられなかったっ♥♥！！),（唔喔喔♥！…結果♥♥…還是沒能逃掉♥♥！！）,(Guuuh♥! ...In the end♥♥... I couldn't escape♥♥!!),(크으윽♥!… 결국♥♥… 도망칠 수 없었어♥♥!!)
,,,,,,
Record.KeiAfter-105,,(んあっ♥…このふざけた乳が無ければっ♥♥！くううっ♥！！),(んあっ♥…このふざけた乳が無ければっ♥♥！くううっ♥！！),（嗯啊♥…要是沒有這對該死的乳房♥♥！唔喔喔♥！！）,(Nah♥... If it weren't for these ridiculous breasts♥♥! Kuuuh♥!!),(응앗♥… 이 빌어먹을 젖만 없었다면♥♥! 크으윽♥!!)
,,,,,,
Record.KeiAfter-106,男,「ふうっ…今日は一晩中使わせてもらうからなっ！覚悟しておけ！」,「ふうっ…今日は一晩中使わせてもらうからなっ！覚悟しておけ！」,「呼…今天要讓妳侍奉一整晚喔！做好覺悟吧！」,"""Phew... We'll be using you all night! Be prepared!""",「후웃… 오늘은 밤새도록 쓰게 해줄 테니! 각오해둬!」
,,,,,,
Record.KeiAfter-107,K22号,「む゛ううっ！？ん゛っ♥♥！な、なんらとっ！」,「む゛ううっ！？ん゛っ♥♥！な、なんらとっ！」,「唔゛嗚嗚！？嗯゛♥♥！你、你說什摸！」,"""Muuuh?! Nn♥♥! Wh-what!""","「읍옷 으으윽!? 응옷 윽♥♥! 무, 무슨!」"
,,,,,,
Record.KeiAfter-108,,その時、見張り役の男と思われる人物が現れる,その時、見張り役の男と思われる人物が現れる,這時，一個似乎是負責把風的男人出現了,"At that moment, someone who appeared to be a lookout appeared.","그때, 망보는 남자라고 생각되는 인물이 나타난다"
,,,,,,
Record.KeiAfter-109,見張り役の男,「お、おい！向こうから財団の戦闘員っぽい奴らがこっちに向かってきてる！」,「お、おい！向こうから財団の戦闘員っぽい奴らがこっちに向かってきてる！」,「喂、喂！那邊有看起來像財團戰鬥員的傢伙往這裡過來了！」,"""H-hey! Foundation soldiers are heading this way!""","「어, 어이! 저쪽에서 재단 전투원 같은 놈들이 이쪽으로 오고 있어!」"
,,,,,,
Record.KeiAfter-110,K22号,「…！！」,「…！！」,「…！！」,"""...!!""",「…!!」
,,,,,,
Record.KeiAfter-111,男,「ちっ…今日はここまでか…せっかくこんな都合のいいオナホ戦闘員みつけたってのに…」,「ちっ…今日はここまでか…せっかくこんな都合のいいオナホ戦闘員みつけたってのに…」,「嘖…今天只能到此為止了嗎…好不容易才找到這麼方便的自慰套戰鬥員…」,"""Tch... Guess that's it for today... And we found such a convenient soldier sex toy...""",「칫… 오늘은 여기까지인가… 모처럼 이런 편리한 오나홀 전투원 찾았는데…」
,,,,,,
Record.KeiAfter-112,,「まあいい、せっかくだから最後に一発ぶっかけてからずらかるぞ！」,「まあいい、せっかくだから最後に一発ぶっかけてからずらかるぞ！」,「罷了，難得的機會，最後再射一發再閃人吧！」,"""Well, whatever. Since we're here, let's finish one more time before we run!""","「뭐 좋아, 모처럼이니 마지막으로 한 발 뿌리고 도망치자!」"
,,,,,,
Record.KeiAfter-113,K22号,「んぐっ♥！？な、なにをっ……！！」,「んぐっ♥！？な、なにをっ……！！」,「嗯咕♥！？你、你們要幹嘛……！！」,"""Ngu♥?! Wh-what are you...!!""","「응큿♥!? 무, 무엇을……!!」"
,,,,,,
Record.KeiAfter-114,,男たちはK22号に向かって自らのチンポをしごき始める,男たちはK22号に向かって自らのチンポをしごき始める,男人們開始朝著K22號，對自己的肉棒套弄起來,The men began stroking themselves toward K22.,남자들은 K22호를 향해 자신의 자지를 흔들기 시작한다
,,,,,,
Record.KeiAfter-115,K22号,「ひうっ♥、な、なにをっ…♥！」,「ひうっ♥、な、なにをっ…♥！」,「咿♥、要、要幹嘛…♥！」,"""Hiu♥ wh-what are you...♥!""","「히웃♥, 무, 무엇을…♥!」"
,,,,,,
Record.KeiAfter-116,,「うあっ♥！ま、まてっ…！や、やめろっ♥！」,「うあっ♥！ま、まてっ…！や、やめろっ♥！」,「嗚啊♥！等、等等…！住、住手♥！」,"""Uah♥! W-wait...! S-stop♥!""","「으앗♥! 자, 잠깐…! 여, 그만둬♥!」"
,,,,,,
Record.KeiAfter-117,Kei darkness DLC1-10,ドビュッ！ビュルルルッルッ！！！,ドビュッ！ビュルルルッルッ！！！,噗咻！咻嚕嚕嚕！！！,Splash! Splurrrrrt!!!,도븃! 뷰르르르릇르릇!!!
,,,,,,
Record.KeiAfter-118,K22号,「～～～～～～～～～～っ♥！！！」,「～～～～～～～～～～っ♥！！！」,「～～～～～～～～～～♥！！！」,"""...♥!!!""",「~~~~~~~~~~윽♥!!!」
,,,,,,
Record.KeiAfter-119,,K22号へ男たちから大量の精液がかけられる,K22号へ男たちから大量の精液がかけられる,大量的精液被男人們噴灑在K22號身上,The men shot their massive loads on K22.,K22호에게 남자들로부터 대량의 정액이 뿌려진다
,,,,,,
Record.KeiAfter-120,,「うあっ♥ひっ♥、ひあああっ♥！？」,「うあっ♥ひっ♥、ひあああっ♥！？」,「嗚啊♥咿♥、咿啊啊啊♥！？」,"""Uah♥ hi♥ hiaaaa♥?!""","「으앗♥히익♥, 히아아앗♥!?」"
,,,,,,
Record.KeiAfter-121,男,「すっきりしたぜ！よしっ、ずらかるぞ！」,「すっきりしたぜ！よしっ、ずらかるぞ！」,「爽快多了！好！快閃人！」,"""That was refreshing! Alright, let's get out of here!""","「개운해졌어! 좋아, 도망치자!」"
,Kei darkness DLC1-11,,,,,
Record.KeiAfter-122,K22号,「げほっ♥、ゴホッ♥、ぐうううぅうううう！！！」,「げほっ♥、ゴホッ♥、ぐうううぅうううう！！！」,「咳♥、咳咳♥、唔喔喔喔喔喔喔！！！」,"""Cough♥ cough♥ guuuuuuu!!!""","「케홋♥, 콜록♥, 크으으으으으으으으윽!!!」"
,,,,,,
Record.KeiAfter-123,,「っ、ま、まずい…私も早くここから立ち去らなければ…！」,「っ、ま、まずい…私も早くここから立ち去らなければ…！」,「…！糟、糟糕…我也得趕快離開這裡才行…！」,"""Tch, th-this is bad... I need to get out of here quickly too...!""","「윽, 자, 잘못하면… 나도 빨리 여기서 떠나야…!」"
,,,,,,
Record.KeiAfter-124,Kei darkness DLC1-12,そしてK22号が起き上がろうとしたとき、目の前にクローン戦闘員が現れる。,そしてK22号が起き上がろうとしたとき、目の前にクローン戦闘員が現れる。,然而就在K22號試圖起身的瞬間，一個克隆戰鬥員出現在她眼前。,"As K22 tried to get up, a clone soldier appeared before her.","그리고 K22호가 일어나려 했을 때, 눈앞에 클론 전투원이 나타난다."
,,,,,,
Record.KeiAfter-125,072号,「…………そこに倒れているのは…K22号ですか？」,「…………そこに倒れているのは…K22号ですか？」,「…………倒在那裡的是…K22號嗎？」,"""...You, lying there, are you K22?""",「…………거기에 쓰러져 있는 것은… K22호입니까?」
,,,,,,
Record.KeiAfter-126,K22号,「……！き、キィーーーーーーッ！！K22号ですっ！」,「……！き、キィーーーーーーッ！！K22号ですっ！」,「……！吱、吱ーーーーーー！！我是K22號！」,"""...! K-KIIIIIII!! It's K22!""","「……! 키, 키이ーーーーーー잇!! K22호입니다!」"
,,,,,,
Record.KeiAfter-127,K22号,(ああああっ！最悪だっ！！),(ああああっ！最悪だっ！！),（啊啊啊！糟透了！！）,(Aaaaah! This is the worst!!),(아아아앗! 최악이다!!)
,,,,,,
Record.KeiAfter-128,072号,「…状況の説明を。」,「…状況の説明を。」,「…請說明情況。」,"""...Explain the situation.""",「…상황 설명을.」
,,,,,,
Record.KeiAfter-129,K22号,「き、キィーーーッ！任務に失敗し…路地裏に来たところ……」,「き、キィーーーッ！任務に失敗し…路地裏に来たところ……」,「吱、吱ーーー！任務失敗…來到巷子裏的時候……」,"""K-KIIIII! I failed my mission... and came to this alley...""","「키, 키이ーーー잇! 임무에 실패하고… 뒷골목에 오게 돼서……」"
,,,,,,
Record.KeiAfter-130,,「お、男たちに敗北し……今までりょ…凌辱されていました……！」,「お、男たちに敗北し……今までりょ…凌辱されていました……！」,「我、我敗給了那些男人們……至今為止都…一直在受到凌辱……！」,"""I-I was defeated by men... and have been... v-violated until now...!""","「나, 남자들에게 패배하고…… 지금까지 능… 능욕당하고 있었습니다……!」"
,,,,,,
Record.KeiAfter-131,,「……任務を遂行することが出来ず…誠に申し訳ございませんっ…！」,「……任務を遂行することが出来ず…誠に申し訳ございませんっ…！」,「……未能完成任務…我感到萬分抱歉…！」,"""...I was unable to complete my mission... I sincerely apologize...!""",「……임무를 수행할 수 없어서… 정말 죄송합니다…!」
,,,,,,
Record.KeiAfter-132,072号,「やれやれ……わかりました。K22号、罰として今日は男性戦闘員の奉仕任務を行うように。」,「やれやれ……わかりました。K22号、罰として今日は男性戦闘員の奉仕任務を行うように。」,「真是的……我明白了。K22號，作為懲罰，今天妳就去執行侍奉男性戰鬥員的任務吧。」,"""Good grief... Understood. K22, as punishment, you will serve the male soldiers to take care of their sexual needs today.""","「이런이런…… 알겠습니다. K22호, 벌로서 오늘은 남성 전투원 봉사 임무를 수행하도록.」"
,,,,,,
Record.KeiAfter-133,K22号,「き、キィーーーーーーッ！！寛大な処遇感謝いたします！」,「き、キィーーーーーーッ！！寛大な処遇感謝いたします！」,「吱、吱ーーーーーー！！感謝您的寬大處置！」,"""K-KIIIIIII!! Thank you for your lenient treatment!""","「키, 키이ーーーーーー잇!! 관대한 처우 감사합니다!」"
,,,,,,
Record.KeiAfter-134,,(ぐうっ！く、くそっ…！！こんなクローンごときにこの私が……！),(ぐうっ！く、くそっ…！！こんなクローンごときにこの私が……！),（唔！可、可惡…！！本小姐竟然要被這種克隆人指使……！）,(Guh! D-damn it...!! For me to be treated like this by a mere clone...!),"(크윽! 제, 젠장…!! 이런 클론 따위에게 이 내가……!)"
,,,,,,
Record.KeiAfter-135,,(だがっ…今に見ているがいいっ…！誰が真の支配者にふさわしいのか…！),(だがっ…今に見ているがいいっ…！誰が真の支配者にふさわしいのか…！),（但是…你們就給我等著吧…！誰才最適合當真正的支配者…！）,(But... just you wait...! I'll show you who truly deserves to rule...!),(하지만… 두고 봐라…! 누가 진정한 지배자에 어울리는지…!)
,,,,,,
Record.KeiAfter-136,,そしてまだまだ下級戦闘員となったK22号の戦闘員生活は続くのだった。,そしてまだまだ下級戦闘員となったK22号の戦闘員生活は続くのだった。,於是，成為了下級戰鬥員的K22號，她的戰鬥員生活仍將繼續下去。,And so K22's life as a junior soldier continued.,그렇게 아직 하급 전투원이 된 K22호의 전투원 생활은 계속되는 것이었다.
,,,,,,
,,,,,,
Kei Fallen Scene DLC 2,注釈,ケイ　淫乱化シーン,ケイ　淫乱化シーン,ケイ　淫乱化シーン,,케이 음란화 이벤트
,背景アジト,,,,,
Kei.DLC_BrainWash2-1,,ある日、K22号が下級戦闘員として任務に勤しむ中――――,ある日、K22号が下級戦闘員として任務に勤しむ中――――,某一天，K22號作為下級戰鬥員努力執行任務時――――,"One day, as K22 was diligently working on her duties as a junior soldier...","어느 날, K22호가 하급 전투원으로서 임무에 힘쓰는 중――――"
,,,,,,
Kei.DLC_BrainWash2-2,,「「「「「キィーーーーーーッ！！！！！」」」」」,「「「「「キィーーーーーーッ！！！！！」」」」」,「「「「「吱ーーーーーー！！！」」」」」,"""KIIIIIII!!!!!""",「「「「「키이ーーーーーー잇!!!!!」」」」」
,,,,,,
Kei.DLC_BrainWash2-3,Ｋ22号,「き、キィーーーーーッ！」,「き、キィーーーーーッ！」,「吱、吱ーーーーー！」,"""K-KIIIIIII!""","「키, 키이ーーーーー잇!」"
,,,,,,
Kei.DLC_BrainWash2-4,,(はあっ、はあっ………くそっ…今日も脱出できるような隙は無かったか……！),(はあっ、はあっ………くそっ…今日も脱出できるような隙は無かったか……！),（哈啊、哈啊………可惡…今天也沒有可以脫逃的空隙嗎……！）,"(Haa, haa... Damn... No chance to escape today either...!)","(하앗, 하앗……… 젠장… 오늘도 탈출할 만한 틈은 없었나……!)"
,,,,,,
Kei.DLC_BrainWash2-5,,(くうっ……！この私がっ……！いつまでこんな事をし続けなくてはならないんだっ……！！),(くうっ……！この私がっ……！いつまでこんな事をし続けなくてはならないんだっ……！！),（唔……！本小姐竟然……！到底還要持續做這種事到什麼時候……！！）,(Kuh...! For me to...! How long must I continue doing this...!!),(크으윽……! 이 내가……! 언제까지 이런 짓을 계속해야 하는 거야……!!)
,,,,,,
Kei.DLC_BrainWash2-6,,(今に見ていろっ……！この程度の組織…私の手にかかればあっという間に崩壊させてやる…！),(今に見ていろっ……！この程度の組織…私の手にかかればあっという間に崩壊させてやる…！),（你們就給我等著……！這種程度的組織…只要由我出手，轉眼間就能讓它崩壞…！）,(Just you wait...! An organization of this level... I'll destroy it in an instant once I get my hands on it...!),(두고 봐라……! 이 정도 조직… 내 손에 걸리면 순식간에 붕괴시켜주마…!)
,,,,,,
Kei.DLC_BrainWash2-7,,その時――――,その時――――,就在這時――――,At that moment...,그때――――
,,,,,,
Kei.DLC_BrainWash2-8,男戦闘員,「お、いたいた、おいＫ22号！」,「お、いたいた、おいＫ22号！」,「喔、找到了、喂，K22號！」,"""Oh, there she is. Hey, K22!""","「오, 여기 있네, 어이 K22호!」"
,,,,,,
Kei.DLC_BrainWash2-9,Ｋ22号,「！、キィーーーーーーッ！！」,「！、キィーーーーーーッ！！」,「！、吱ーーーーーー！！」,"""...! KIIIIIII!!""","「!, 키이ーーーーーー잇!!」"
,,,,,,
Kei.DLC_BrainWash2-10,男戦闘員,「ははっ、コイツは牛みてえにでけえ乳してるからすぐわかるな。」,「ははっ、コイツは牛みてえにでけえ乳してるからすぐわかるな。」,「哈哈、這傢伙頂著像牛一樣的超大奶子，馬上就認出來了。」,"""Haha, this one's easy to spot with those cow-like huge breasts.""","「하핫, 이 녀석은 소처럼 큰 젖 하고 있으니 바로 알겠네.」"
,,,,,,
Kei.DLC_BrainWash2-11,,「あー、お前に新しい任務だ。お前が幹部だった頃にやってた配信をやるぞ。」,「あー、お前に新しい任務だ。お前が幹部だった頃にやってた配信をやるぞ。」,「啊ー、有新任務給妳。去開妳還在當幹部時開過的那個直播。」,"""Ah, new mission for you. You'll be doing the streaming you used to do when you were an executive.""","「아-, 너에게 새로운 임무다. 네가 간부였을 때 하던 방송을 해라.」"
,,,,,,
Kei.DLC_BrainWash2-12,Ｋ22号,「き、キィーーーーッ！！了解しました！」,「き、キィーーーーッ！！了解しました！」,「吱、吱ーーーー！！遵命！」,"""K-KIIIIIII!! Understood!""","「키, 키이ーーーー잇!! 알겠습니다!」"
,,,,,,
Kei.DLC_BrainWash2-13,,(っ！配信だと……！？),(っ！配信だと……！？),（！直播……！？）,(...! Streaming...?!),(윽! 방송이라고……!?)
,,,,,,
Kei.DLC_BrainWash2-14,男戦闘員,「よかったな、また幹部っぽい事できるぞ？」,「よかったな、また幹部っぽい事できるぞ？」,「太好了嘛，又能做點像幹部會做的事了？」,"""Great, isn't it? You can now do something that executives do.""","「잘 됐네, 또 간부 같은 일 할 수 있잖아?」"
,,,,,,
Kei.DLC_BrainWash2-15,Ｋ22号,(冗談じゃないっ…！こんな無様でバカみたいな乳を晒せというのか…！？),(冗談じゃないっ…！こんな無様でバカみたいな乳を晒せというのか…！？),（開什麼玩笑…！要我把這對窩囊又蠢到不行的奶子秀給別人看嗎…！？）,"(You've got to be kidding...! They want me to expose these pathetic, ridiculous tits...!?)",(장난 아니야…! 이런 꼴사납고 바보 같은 젖을 드러내라는 건가…!?)
,,,,,,
Kei.DLC_BrainWash2-16,Ｋ22号,「き、キィーーーッ！！期待を裏切らないよう全力で任務を遂行いたします！」,「き、キィーーーッ！！期待を裏切らないよう全力で任務を遂行いたします！」,「吱、吱ーーー！！我會全力執行任務，不會辜負您的期待！」,"""K-Kiiiii!! I will execute my mission with all my strength to not betray your expectations!""","「키, 키이ーーー잇!! 기대를 저버리지 않도록 전력으로 임무를 수행하겠습니다!」"
,,,,,,
,暗転,,,,,
,Kei debauchery DLC 1-1,,,,,
Kei.DLC_BrainWash2-17,Ｋ22号,「あ、あ～久しぶりだな諸君………！私がいない間寂しくなかっただろうか…？」,「あ、あ～久しぶりだな諸君………！私がいない間寂しくなかっただろうか…？」,「啊、啊～好久不見了，諸君………！我不在的這段時間，你們是不是很寂寞啊…？」,"""Ah, ah, it's been a while, everyone...! Didn't you miss me while I was gone...?""","「아, 아~ 오랜만이군 제군………! 내가 없는 동안 외롭지 않았을까…?」"
,,,,,,
Kei.DLC_BrainWash2-18,,くちゅっ、くちゅっ、くちゅっ,くちゅっ、くちゅっ、くちゅっ,咕啾、咕啾、咕啾,"Squelch, squelch, squelch","쿠츗, 쿠츗, 쿠츗"
,,,,,,
Kei.DLC_BrainWash2-19,,「ひあっ！？、わ、訳あって配信が出来なかったんだが……そ、その……」,「ひあっ！？、わ、訳あって配信が出来なかったんだが……そ、その……」,「咿啊！？、我、我因為一些緣故沒辦法開直播……那、那個……」,"""Hyah!? I-I couldn't stream for certain reasons... Um, well...""","「히앗!?, 자, 자초지종이 있어서 방송을 못 했는데…… 그, 그건……」"
,,,,,,
Kei.DLC_BrainWash2-20,男戦闘員,「はっきり言え、ちゃんと何があったか説明しろ。」,「はっきり言え、ちゃんと何があったか説明しろ。」,「給我說清楚，好好說明到底發生了什麼事。」,"""Say it clearly. Explain properly what happened.""","「똑바로 말해, 제대로 무슨 일이 있었는지 설명해라.」"
,,,,,,
Kei.DLC_BrainWash2-21,Ｋ22号,「き、キィーーーッ！！申し訳ありませんっ！」,「き、キィーーーッ！！申し訳ありませんっ！」,「吱、吱ーーー！！非常抱歉！」,"""K-Kiiiii!! I'm terribly sorry!""","「키, 키이ーーー잇!! 죄송합니다!」"
,,,,,,
Kei.DLC_BrainWash2-22,,「わ、私…元フォーレン財団幹部猫宮京は……その………」,「わ、私…元フォーレン財団幹部猫宮京は……その………」,「我、我…前佛倫財團幹部貓宮京……那個………」,"""I... former Forren Foundation executive Kei Nekomiya... um...""","「나, 나… 전 폴른 재단 간부 네코미야 케이는…… 그………」"
,,,,,,
Kei.DLC_BrainWash2-23,,「組織への裏切り行為により12階級降格……現在は最下級の雑魚戦闘員として財団に所属しているっ！」,「組織への裏切り行為により12階級降格……現在は最下級の雑魚戦闘員として財団に所属しているっ！」,「因為對組織的背叛行為被降了12級……現在是作為最下級的雜魚戰鬥員隸屬於財團！」,"""I betrayed the organization and was demoted 12 ranks... I now belong to the Foundation as a junior soldier!""",「조직에 대한 배신 행위로 12계급 강등…… 현재는 최하급 허접 전투원으로서 재단에 소속되어 있다!」
,,,,,,
Kei.DLC_BrainWash2-24,,「そ、そういう訳で…現在男性戦闘員様に体を弄ばれているわけだが…私に拒否権は無いのでされるがままという事だな…っ♥」,「そ、そういう訳で…現在男性戦闘員様に体を弄ばれているわけだが…私に拒否権は無いのでされるがままという事だな…っ♥」,「就、就是這麼回事…現在正被男性戰鬥員大人玩弄身體…而我沒有拒絕的權利，只能任憑擺布了…♥」,"""S-So that's why... I'm currently being toyed with by a male soldier... Since I have no right to refuse, I'm at his mercy...♥""","「그, 그런 이유로… 현재 남성 전투원님에게 몸을 농락당하고 있는 몸이다만… 나에게 거부권은 없으므로 이렇게 당하는 대로라는 거지…윽♥」"
,,,,,,
Kei.DLC_BrainWash2-25,男戦闘員,「そういう訳だな…オラッ、イケッ！」,「そういう訳だな…オラッ、イケッ！」,「就是這麼回事…來吧、上！」,"""That's right... Come on, come now!""",「그런 이유군… 자! 가랏!」
,,,,,,
Kei.DLC_BrainWash2-26,,グチュッ！グチュッグチュッ！！,グチュッ！グチュッグチュッ！！,咕啾！咕啾咕啾！！,"Squelch, squelch, squelch!",구츗! 구츗구츗!!
,Kei debauchery DLC 1-2,,,,,
Kei.DLC_BrainWash2-27,Ｋ22号,「ほお゛おおっ♥お゛お～～～～～～っ♥！？」,「ほお゛おおっ♥お゛お～～～～～～っ♥！？」,「吼喔喔喔喔♥喔喔～～～～～～♥！？」,"""Hooooh♥ Ooooooh♥!?""",「호오옷 오오옷♥ 오옷 오~~~~~~읏♥!?」
,,,,,,
